system:index,tmmx,year,.geo
0,253.5,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,239.48333333333338,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,255.91666666666669,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,255.35,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,246.40833333333336,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,242.59166666666664,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,248.7666666666667,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,243.83333333333331,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,251.08333333333334,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,234.3333333333333,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,253.97500000000002,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,248.14999999999998,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,238.48333333333332,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,260.82500000000005,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,245.07500000000002,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,246.9916666666667,1974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,247.66666666666669,1975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,255.65,1976.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,259.4,1977.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,253.15833333333336,1978.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,251.8416666666667,1979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,253.85000000000002,1980.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,245.01666666666662,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,252.66666666666666,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,256.83333333333337,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,243.76666666666668,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,256.00833333333327,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,242.74166666666667,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,252.49166666666665,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,254.00000000000003,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,249.92499999999995,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,244.25,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,257.34166666666664,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,244.5916666666667,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,248.65,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,264.2583333333333,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,250.66666666666669,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,258.25,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,257.65833333333336,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,258.16666666666663,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,258.5833333333333,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,252.575,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,250.075,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,259.4916666666666,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,256.325,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,256.59166666666675,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,250.68333333333334,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,256.3333333333333,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,255.93333333333334,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,252.3166666666667,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,258.15,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,261.09166666666664,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,259.1583333333333,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,261.83333333333337,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,263.0833333333333,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,263.09166666666664,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,264.07500000000005,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,241.40833333333336,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,249.08333333333334,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,256.42500000000007,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,256.94166666666666,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,259.08333333333337,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,251.42499999999998,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
